community_area,community_area_number,property_type,property_name,address,zip_code,phone_number,management_company,units,x_coordinate,y_coordinate,latitude,longitude,location
Humboldt Park,23,Supportive Housing,Humboldt Park Residences,1152 N. Christiana Ave.,60647,773-276-5338,LUCHA,69,1153731.441,1907707.148,41.9025858,-87.71076053,"
,  
(41.902585798904, -87.710760528276)"
Near North Side,8,Multifamily,Parkside of Old Town Phase IIA,544 W. Oak St.,60610,312-640-6032,Holsten Real Estate Dev. Corp.,111,1172196.032,1907097.533,41.90052524,-87.64295528,"
,  
(41.9005252379124, -87.6429552752714)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1802 N. Sawyer Ave.,60647,773-276-5338,LUCHA,3,1154261.835,1911817.117,41.91385334,-87.70870236,"
,  
(41.9138533401484, -87.7087023585048)"
Humboldt Park,23,Multifamily,Madres Unidas (scattered sites),3541 W. North Ave.,60647,773-276-5338,LUCHA,80,1152271.525,1910359.241,41.90989234,-87.71605298,"
,  
(41.9098923381712, -87.7160529794187)"
Near North Side,8,Multfamily,Parkside of Old Town IIB,1151 N. Cleveland Ave.,60622,312-944-8500,Holsten Real Estate Dev. Corp.,12,1172709.408,1907999.787,41.90298972,-87.64104289,"
,  
(41.9029897210002, -87.6410428924515)"
West Pullman,53,Senior,All Saints Senior Residence,11701 S. State St.,60628,312-655-7440,Catholic Charities Housing Devp.,42,1178389.496,1827364.136,41.6815901,-87.62262763,"
,  
(41.6815900985845, -87.6226276337339)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1808-10 N. Kedzie Ave.,60647,773-276-5338,LUCHA,3,1154721.064,1911891.217,41.91404749,-87.70701324,"
,  
(41.9140474872389, -87.7070132389676)"
Near North Side,8,Multifamily,North Town Village I & II,1311 N. Halsted St.,60642,312-944-9488,Holsten Real Estate Dev. Corp.,112,1170813.062,1908876.862,41.90543825,-87.64798274,"
,  
(41.9054382467375, -87.6479827434046)"
Near South Side,33,Senior,Hilliard Homes Phase I,30 W. Cermak Road,60616,312-326-1455,Holsten Real Estate Dev. Corp.,151,1176346.441,1889816.861,41.85301339,-87.62823221,"
,  
(41.8530133902049, -87.6282322110359)"
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,1152271.525,1910359.241,41.90989234,-87.71605298,"
,  
(41.9098923381712, -87.7160529794187)"
West Town,24,Multifamily,Borinquen Bella Apts.,"1318,1456 N. Rockwell Ave.",60622,773-276-5338,LUCHA,24,1158786.704,1908791.071,41.905458,-87.69216188,"
,  
(41.9054579980481, -87.6921618816492)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1834-36 N. Sawyer Ave.,60647,773-276-5338,LUCHA,6,1154251.058,1912153.096,41.91477551,-87.70873296,"
,  
(41.9147755105005, -87.7087329617065)"
Near North Side,8,Supportive Housing,The Midwest/Carroll Park Apts.,1333 N. Kingsbury St.,60622,312-337-5339,Holsten Real Estate Dev. Corp.,40,1170359.454,1908979.929,41.905731,-87.64964597,"
,  
(41.9057310022859, -87.6496459663701)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1929 N. Drake Ave.,60647,773-276-5338,LUCHA,3,1152547.355,1912706.661,41.91632842,-87.71497751,"
,  
(41.9163284200712, -87.7149775129236)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1822 N. Sawyer Ave.,60647,773-276-5338,LUCHA,3,1154255.08,1912027.168,41.91442987,-87.70872156,"
,  
(41.9144298729108, -87.7087215553095)"
Grand Boulevard,38,Multifamily,4400 Grove Apts.,4400 S. Cottage Grove Ave.,60653,312-248-6012,Michaels Development Co.,38,1182295.45,1875978.517,41.81490392,-87.60682726,"
,  
(41.8149039242413, -87.6068272642158)"
South Deering,51,Senior,Porta Coeli Residence,2260 E. 99th St.,60617,773-374-2470,Catholic Charities,86,1193007.252,1839809.525,41.71539824,-87.56871495,"
,  
(41.7153982407788, -87.5687149518265)"
Woodlawn,42,Multifamily,Strand Hotel,6321 S. Cottage Grove Ave.,60637,312-274-9169,Holsten Real Estate Dev. Corp.,63,1182692.163,1863173.729,41.7797573,-87.60576963,"
,  
(41.7797573035967, -87.6057696254993)"
West Garfield Park,26,Senior,Midwest Apts.,6 N. Hamlin Blvd.,60624,773-265-0323,Holsten Management Corp.,276,1151025.526,1899809.62,41.88096762,-87.72090693,"
,  
(41.8809676236059, -87.7209069325321)"
Near North Side,8,Multifamily,Parkside of Old Town IIB,459 W. Division St.,60622,312=944-8500,Holsten Real Estate Dev. Corp.,94,1172865.271,1908241.237,41.90364882,-87.64046322,"
,  
(41.9036488171287, -87.6404632192771)"
Edgewater,77,Multifamily,Bell Shore Apts.,1062 W. Bryn Mawr Ave.,60660,773-334-5407,Holsten Management Corp.,105,1167941.813,1937401.257,41.9837729,-87.65770384,"
,  
(41.9837729036918, -87.6577038394096)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1812 N. Drake Ave.,60647,773-276-5338,LUCHA,3,1152491.947,1911884.938,41.91407463,-87.71520284,"
,  
(41.9140746342917, -87.7152028390309)"
West Town,24,Multifamily,Tierra Linda Apts.,1421 N. Artesian Ave.,60622,773-276-5338,LUCHA,3,1159853.176,1909475.952,41.90731543,-87.68822545,"
,  
(41.9073154253631, -87.6882254516982)"
