"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"2012-001c","Alice Griffith - Phase 3A (Block 1A)","2500 Arelious Walker Dr","94124","10","Bayview Hunters Point","Bayview","Candlestick Point","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Alice Griffith HOPE SF","2019-08-20T00:00:00.000","80","80","0","0","10","60","7","3","0","0","0","0","0","0","0","37.71962424","-122.3842371","POINT (-122.3842371 37.71962424)"
"2012-001d","Alice Griffith - Phase 3B (Block 1B)","2500 Arelious Walker Dr","94124","10","Bayview Hunters Point","Bayview","Candlestick Point","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Alice Griffith HOPE SF","2019-08-20T00:00:00.000","40","40","0","0","3","11","26","0","0","0","0","0","0","0","0","37.71962424","-122.384237","POINT (-122.384237 37.71962424)"
"1982-002","All Hallows Community","1711 Oakdale Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1985-12-17T00:00:00.000","44","44","0","16","28","0","0","0","0","0","0","0","0","0","0","37.73561829","-122.3926394","POINT (-122.3926394 37.73561829)"
"2016-029","Alta Potrero","1301 16th St","94103","10","Mission Bay","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2021-01-20T00:00:00.000","29","29","0","4","13","11","1","0","0","0","0","0","0","0","0","37.76584514","-122.4001722","POINT (-122.4001722 37.76584514)"
"1984-023","Amancio Ergina Village","1348 Scott St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Other Ownership Programs","City Second Loan Program",,,"72","66","0","0","23","32","11","0","0","0","0","0","0","0","0","37.7823893","-122.4373735","POINT (-122.4373735 37.7823893)"
"2016-023","Ansel","1699 Market St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2019-10-18T00:00:00.000","19","19","0","2","9","8","0","0","0","0","0","0","0","0","0","37.77223589","-122.4218111","POINT (-122.4218111 37.77223589)"
"2009-015","Arc Light","21 Clarence Pl","94107","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Adaptive Reuse","Inclusionary Housing","Inclusionary Housing Program",,"2012-03-28T00:00:00.000","19","19","0","2","9","8","0","0","0","0","0","0","0","0","0","37.77968771","-122.3925022","POINT (-122.3925022 37.77968771)"
"2006-020","Armstrong Place","5600 3rd St","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2010-10-14T00:00:00.000","117","116","0","12","103","1","0","0","0","0","0","0","22","23","0","37.72692812","-122.3938027","POINT (-122.3938027 37.72692812)"
"2007-021","Armstrong Townhomes","1740-1780 Bancroft Ave","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2021-11-22T00:00:00.000","125","123","0","0","0","51","48","24","0","0","0","0","0","0","0","37.72692812","-122.3938026","POINT (-122.3938026 37.72692812)"
"2017-025","Astella","975 Bryant St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-04-04T00:00:00.000","30","30","0","6","12","11","1","0","0","0","0","0","0","0","0","37.77303616","-122.4060009","POINT (-122.4060009 37.77303616)"
"1997-011","Autumn Glow","654 Grove St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Assisted Living/Skilled Nursing Facility",,"2001-05-21T00:00:00.000","15","15","0","0","0","0","0","0","0","15","0","0","0","0","0","37.77749156","-122.4273022","POINT (-122.4273022 37.77749156)"
"2011-027","AVA 55 Ninth","55 9th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2014-10-14T00:00:00.000","36","36","0","2","12","22","0","0","0","0","0","0","0","0","0","37.77701248","-122.4152403","POINT (-122.4152403 37.77701248)"
"1997-018","Avalon At Mission Bay (Tower 1)","255 King St","94107","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","Inclusionary Housing","OPA Only","Mission Bay North","2005-02-03T00:00:00.000","21","21","0","0","10","8","3","0","0","0","0","0","0","0","0","37.77646119","-122.3933721","POINT (-122.3933721 37.77646119)"
"1997-017","Avalon At Mission Bay (Tower 2)","301 King St","94158","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","Inclusionary Housing","OPA Only","Mission Bay North","2006-10-23T00:00:00.000","19","19","0","1","9","6","3","0","0","0","0","0","0","0","0","37.77551856","-122.3941593","POINT (-122.3941593 37.77551856)"
"1990-011","Baker's Dozen","733 Baker St","94115","2","Lone Mountain/USF","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1993-09-10T00:00:00.000","12","12","0","0","0","0","0","0","0","12","0","0","0","0","0","37.77782426","-122.4420878","POINT (-122.4420878 37.77782426)"
"2004-033","Banneker Homes","745-785 Fulton St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1997-01-22T00:00:00.000","109","108","0","0","12","40","35","21","0","0","0","0","0","0","0","37.77755714","-122.4288741","POINT (-122.4288741 37.77755714)"
"1998-014","Bayanihan House","88 6th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2005-01-14T00:00:00.000","152","152","152","0","0","0","0","0","0","0","0","0","9","0","0","37.78107089","-122.4089816","POINT (-122.4089816 37.78107089)"
"1988-010","Baycrest Towers","201 Harrison St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Other Ownership Programs","City Second Loan Program",,"1988-08-08T00:00:00.000","31","27","0","11","11","4","0","0","0","0","0","0","0","0","0","37.78767972","-122.390541","POINT (-122.390541 37.78767972)"
"2008-039","Bay Oaks Homes","4800 3rd St","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2009-12-07T00:00:00.000","18","18","0","0","12","6","0","0","0","0","0","0","0","0","0","37.73474563","-122.391014","POINT (-122.391014 37.73474563)"
"1982-010","Bayside Village","3 Bayside Village Pl","94107","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","Inclusionary Housing","Affordability Preservation Agreement",,"1988-07-01T00:00:00.000","114","70","0","23","23","24","0","0","0","0","0","0","0","0","0","37.78491857","-122.390257","POINT (-122.390257 37.78491857)"
"2007-013","Bayside Vista","248 Lauren Ct","94134","10","Bayview Hunters Point","Visitacion Valley","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2009-12-03T00:00:00.000","6","6","0","0","0","3","3","0","0","0","0","0","0","0","0","37.71436514","-122.3987508","POINT (-122.3987508 37.71436514)"
"1997-014","Bayview Commons","4445 3rd St","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2003-01-27T00:00:00.000","31","30","0","0","0","19","9","2","0","0","0","0","0","0","0","37.73723145","-122.3895707","POINT (-122.3895707 37.73723145)"
"2008-035","Bayview Hill Gardens","1075 Le Conte Ave","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2013-11-18T00:00:00.000","74","73","0","15","24","26","8","0","0","0","0","0","39","23","0","37.71878809","-122.3980354","POINT (-122.3980354 37.71878809)"
"1997-015","Bernal Bundle Scattered Sites - Positive Match","1652 Eddy St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Bernal Bundle Scattered Sites","2002-11-22T00:00:00.000","7","7","0","0","1","5","1","0","0","0","0","0","0","0","0","37.78129267","-122.4348911","POINT (-122.4348911 37.78129267)"
"2008-001","Bill Sorro Community (Hugo/200 6th)","1009 Howard St","94103","6","South of Market","Chinatown","South of Market","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2017-05-25T00:00:00.000","68","67","0","8","24","25","10","0","0","0","0","0","0","0","0","37.77949484","-122.4071682","POINT (-122.4071682 37.77949484)"
"2004-027","Bishop Swing Community House","275 10th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2009-09-14T00:00:00.000","136","135","0","134","1","0","0","0","0","0","0","0","92","75","0","37.77339713","-122.4127145","POINT (-122.4127145 37.77339713)"
"1997-007","Bridgeview","400 Beale St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2003-02-07T00:00:00.000","24","24","0","0","12","11","1","0","0","0","0","0","0","0","0","37.78703877","-122.3909148","POINT (-122.3909148 37.78703877)"
"2007-023","Buchanan Lane","1301 Buchanan St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2019-12-20T00:00:00.000","3","3","0","0","0","0","3","0","0","0","0","0","0","0","0","37.78194708","-122.4291848","POINT (-122.4291848 37.78194708)"
"2005-013","Candlestick Cove","101 Executive Park Blvd","94134","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2012-05-01T00:00:00.000","25","25","0","0","0","4","11","10","0","0","0","0","0","0","0","37.71139478","-122.3944996","POINT (-122.3944996 37.71139478)"
"2012-007a","Candlestick Heights (Inclusionary)","859 Jamestown Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program","Candlestick Heights","2014-03-27T00:00:00.000","19","19","0","0","0","0","0","19","0","0","0","0","0","0","0","37.71717418","-122.3921488","POINT (-122.3921488 37.71717418)"
"2012-007b","Candlestick Heights (Multifamily)","859 Jamestown Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Securities Program","Candlestick Heights","2014-03-17T00:00:00.000","196","194","0","0","20","130","18","26","0","0","0","0","0","0","0","37.71717418","-122.3921487","POINT (-122.3921487 37.71717418)"
"2002-015","Candlestick Point - The Cove, Phase 1","1&101 Crescent Way","94134","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2001-01-01T00:00:00.000","14","14","0","0","2","11","1","0","0","0","0","0","0","0","0","37.71108251","-122.3891792","POINT (-122.3891792 37.71108251)"
"2005-014","Candlestick Point - The Cove,  Phase 2","401 Crescent Ct","94134","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-08-29T00:00:00.000","18","18","0","0","5","10","3","0","0","0","0","0","0","0","0","37.71138073","-122.3879245","POINT (-122.3879245 37.71138073)"
"1997-008","Canon Barcus Community House","670 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2001-12-31T00:00:00.000","49","48","0","0","4","12","27","5","0","0","0","0","13","0","0","37.77708168","-122.411757","POINT (-122.411757 37.77708168)"
"2013-054","Canon Kip Community House","705 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-08-06T00:00:00.000","105","104","23","80","1","0","0","0","0","0","0","0","79","0","0","37.77632468","-122.4122351","POINT (-122.4122351 37.77632468)"
"2004-032","Ceatrice Polite Apartments","321 Clementina St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-03-20T00:00:00.000","90","90","0","45","45","0","0","0","0","0","0","0","0","0","0","37.78193599","-122.4021726","POINT (-122.4021726 37.78193599)"
"1992-007","Clara House","111 Page St","94102","6","Hayes Valley","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1995-01-17T00:00:00.000","13","13","0","0","9","4","0","0","0","0","0","0","0","0","0","37.77374166","-122.4229669","POINT (-122.4229669 37.77374166)"
"2013-039","Clementina Towers","320 & 330 Clementina St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2019-05-15T00:00:00.000","278","276","0","226","50","0","0","0","0","0","0","0","0","0","0","37.78217673","-122.4026805","POINT (-122.4026805 37.78217673)"
"1992-011","Columbia Park","1035 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1996-03-04T00:00:00.000","51","50","0","0","3","12","31","4","0","0","0","0","0","0","0","37.77773528","-122.4058226","POINT (-122.4058226 37.77773528)"
"1990-002","Connecticut St Court","1206-1228 Connecticut St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1992-09-29T00:00:00.000","10","10","0","0","0","0","10","0","0","0","0","0","0","0","0","37.75091463","-122.3964441","POINT (-122.3964441 37.75091463)"
"1995-020","Coventry Place","1550 Sutter St","94109","2","Pacific Heights","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Assisted Living/Skilled Nursing Facility",,"1998-12-22T00:00:00.000","34","34","0","34","0","0","0","0","0","0","0","0","0","0","0","37.78725159","-122.4258614","POINT (-122.4258614 37.78725159)"
"2004-031","Crescent Cove","420 Berry St","94107","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-10-30T00:00:00.000","238","236","0","84","88","64","0","0","0","0","0","0","0","0","0","37.77200867","-122.3990057","POINT (-122.3990057 37.77200867)"
"2005-036","Cubix","766 Harrison St","94107","6","South of Market","South of Market","Yerba Buena Center","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,,"7","7","0","7","0","0","0","0","0","0","0","0","0","0","0","37.78151055","-122.3989218","POINT (-122.3989218 37.78151055)"
"2016-095","Dorris M. Vincent Apartments","275 Coleman St","94124","10","Bayview Hunters Point","Bayview","HP Shipyard Phase 1","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2025-11-21T00:00:00.000","72","72","0","4","18","31","16","2","1","0","0","0","0","0","0","37.72737552","-122.3682951","POINT (-122.3682951 37.72737552)"
"2009-004","Dr. George W Davis Senior Housing","1751 Carroll Ave","94107","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2016-05-24T00:00:00.000","122","121","0","0","117","4","0","0","0","0","0","0","0","0","0","37.7256277","-122.3957374","POINT (-122.3957374 37.7256277)"
"1992-012","Eddy Street Apartments","1096 Eddy St","94109","2","Western Addition","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1997-04-10T00:00:00.000","22","21","0","0","21","0","0","0","0","0","0","0","0","0","0","37.78254605","-122.4257287","POINT (-122.4257287 37.78254605)"
"2003-031","Edith Witt Senior Community","66 9th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-10-06T00:00:00.000","108","107","0","20","86","0","1","0","0","0","0","0","12","12","0","37.77653205","-122.4153144","POINT (-122.4153144 37.77653205)"
"2015-007","Edwin M. Lee Apartments","1150 3rd St","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2020-06-17T00:00:00.000","120","119","0","12","55","31","21","0","0","0","0","0","7","0","54","37.77305438","-122.3899231","POINT (-122.3899231 37.77305438)"
"1989-012","El Dorado","150 9th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Building Rehabilitation (Construction)","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2026-01-14T00:00:00.000","57","57","57","0","0","0","0","0","0","0","0","0","10","0","0","37.77536957","-122.4140325","POINT (-122.4140325 37.77536957)"
"1995-001","Embarcadero Lofts","300 Beale St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Adaptive Reuse","Inclusionary Housing","Inclusionary Housing Program",,"1983-08-31T00:00:00.000","6","6","0","2","3","1","0","0","0","0","0","0","0","0","0","37.78801655","-122.3923794","POINT (-122.3923794 37.78801655)"
"1988-008","Embarcadero Triangle (Parcel J)","600 The Embarcadero","94111","6","Financial District/South Beach","South of Market","Rincon Point-South Beach","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1990-03-01T00:00:00.000","177","177","0","96","37","44","0","0","0","0","0","0","0","0","0","37.78348622","-122.3888121","POINT (-122.3888121 37.78348622)"
"1979-003","Endicott Court (Affordable Condo Program) (WA-A2)","1939-1965 O'Farrell St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Limited Equity Program",,"1986-03-04T00:00:00.000","19","9","0","0","0","0","0","0","0","0","0","0","0","0","0","37.78248897","-122.4366792","POINT (-122.4366792 37.78248897)"
"1998-011","Eugene Coleman Senior Community","328 Tehama St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-01-09T00:00:00.000","85","85","0","57","28","0","0","0","0","0","0","0","0","0","0","37.78233678","-122.4028253","POINT (-122.4028253 37.78233678)"
"1990-014","Fell Street Apartments","333 Fell St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2012-08-09T00:00:00.000","83","82","0","4","20","24","34","0","0","0","0","0","0","0","0","37.77561061","-122.4233482","POINT (-122.4233482 37.77561061)"
"2008-032","Ferguson Place","1249 Scott St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1993-01-26T00:00:00.000","12","12","0","0","0","0","0","0","0","12","0","0","0","0","0","37.78155948","-122.4376119","POINT (-122.4376119 37.78155948)"
"1984-008","Fillmore Center","1475 Fillmore St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","Inclusionary Housing","Affordability Preservation Agreement",,"2008-06-13T00:00:00.000","191","191","0","45","71","72","3","0","0","0","0","0","0","0","0","37.7826183","-122.4332356","POINT (-122.4332356 37.7826183)"
"2007-024","Fillmore Heritage","1310 Fillmore St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2008-05-16T00:00:00.000","12","12","0","0","5","6","1","0","0","0","0","0","0","0","0","37.78214791","-122.4318529","POINT (-122.4318529 37.78214791)"
"1990-013","Fillmore Marketplace Apartments","1223 Webster St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2022-09-30T00:00:00.000","122","120","0","0","29","29","62","0","0","0","0","0","0","0","0","37.78195538","-122.4309626","POINT (-122.4309626 37.78195538)"
"2010-024","Fillmore Park","1345 Turk St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2012-05-23T00:00:00.000","32","32","0","0","7","17","8","0","0","0","0","0","0","0","0","37.78048141","-122.4311396","POINT (-122.4311396 37.78048141)"
"2010-004","Five88","588 Mission Bay Blvd North","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Mission Bay South","2017-01-31T00:00:00.000","202","200","0","0","72","128","0","0","0","0","0","0","0","0","0","37.77112038","-122.390717","POINT (-122.390717 37.77112038)"
"2001-020","Folsom + Dore Apartments","1346 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2005-08-10T00:00:00.000","98","98","0","33","57","8","0","0","0","0","0","0","42","20","0","37.77355635","-122.4121398","POINT (-122.4121398 37.77355635)"
"2015-069","Frederick Douglas Haynes Gardens","1049 Golden Gate Ave","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Securities Program",,"2022-05-06T00:00:00.000","103","103","0","0","26","40","28","9","0","0","0","0","0","0","0","37.77960978","-122.4276949","POINT (-122.4276949 37.77960978)"
"2013-050","Fulton 555","555 Fulton St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2020-08-04T00:00:00.000","17","17","0","0","9","8","0","0","0","0","0","0","0","0","0","37.77826662","-122.4258732","POINT (-122.4258732 37.77826662)"
"1993-012","Gabreila Apartments","583-587 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1997-01-24T00:00:00.000","29","29","0","0","4","9","12","3","1","0","0","0","0","0","0","37.77860791","-122.4093402","POINT (-122.4093402 37.77860791)"
"1997-020","Garnett Terrace","2-98 Garnett Ter","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","City Second Loan Program",,"1996-11-26T00:00:00.000","58","1","0","0","0","0","0","0","0","0","0","0","0","0","0","37.73238033","-122.3812693","POINT (-122.3812693 37.73238033)"
"1995-015","Geraldine Johnson Manor","5545 3rd St","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1999-03-24T00:00:00.000","54","54","0","0","53","1","0","0","0","0","0","0","0","0","0","37.72709269","-122.3930327","POINT (-122.3930327 37.72709269)"
"2005-007","Glasdore Lofts","30 Dore St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-07-24T00:00:00.000","4","4","0","1","2","0","1","0","0","0","0","0","0","0","0","37.77397422","-122.4133107","POINT (-122.4133107 37.77397422)"
"1998-013","Golden Gate Apartments","1820 Post St","94115","5","Japantown","Western Addition","Western Addition-Area 2","SFRA","Rental","Building Rehabilitation (Pre-Construction)","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1989-10-23T00:00:00.000","73","72","0","5","13","26","19","9","0","0","0","0","0","0","0","37.78572607","-122.4321003","POINT (-122.4321003 37.78572607)"
"2016-041","Haight Street Apartments","398 Haight St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1985-01-11T00:00:00.000","13","12","0","0","10","2","0","0","0","0","0","0","0","0","0","37.77244546","-122.4285531","POINT (-122.4285531 37.77244546)"
"1992-002","Haight Street Lofts","645 Haight St","94117","5","Haight Ashbury","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-12-03T00:00:00.000","3","3","0","0","1","2","0","0","0","0","0","0","0","0","0","37.77151832","-122.4327282","POINT (-122.4327282 37.77151832)"
"1995-002","Harbor Lofts (AKA 400 Spear)","101 Harrison St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1997-07-02T00:00:00.000","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37.78833976","-122.3893093","POINT (-122.3893093 37.78833976)"
"1990-012","Hayes Adult Residence","890 Hayes St","94117","5","Hayes Valley","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1992-03-24T00:00:00.000","104","104","0","0","0","0","0","0","0","104","0","0","0","0","0","37.7759926","-122.4307911","POINT (-122.4307911 37.7759926)"
"2017-051","Hayes Valley North  HOPE VI","650 Linden St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2022-06-15T00:00:00.000","83","83","0","0","0","47","30","6","0","0","0","0","0","0","0","37.77571559","-122.4286881","POINT (-122.4286881 37.77571559)"
"2017-041","Hayes Valley South HOPE VI","401 Rose St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2022-09-30T00:00:00.000","109","109","0","0","16","69","17","7","0","0","0","0","0","0","0","37.77291705","-122.4273123","POINT (-122.4273123 37.77291705)"
