"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"2012-007b","Candlestick Heights (Multifamily)","859 Jamestown Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Securities Program","Candlestick Heights","2014-03-17T00:00:00.000","196","194","0","0","20","130","18","26","0","0","0","0","0","0","0","37.71717418","-122.3921487","POINT (-122.3921487 37.71717418)"
"2002-015","Candlestick Point - The Cove, Phase 1","1&101 Crescent Way","94134","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2001-01-01T00:00:00.000","14","14","0","0","2","11","1","0","0","0","0","0","0","0","0","37.71108251","-122.3891792","POINT (-122.3891792 37.71108251)"
"2005-014","Candlestick Point - The Cove,  Phase 2","401 Crescent Ct","94134","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-08-29T00:00:00.000","18","18","0","0","5","10","3","0","0","0","0","0","0","0","0","37.71138073","-122.3879245","POINT (-122.3879245 37.71138073)"
"1997-008","Canon Barcus Community House","670 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2001-12-31T00:00:00.000","49","48","0","0","4","12","27","5","0","0","0","0","13","0","0","37.77708168","-122.411757","POINT (-122.411757 37.77708168)"
"2013-054","Canon Kip Community House","705 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-08-06T00:00:00.000","105","104","23","80","1","0","0","0","0","0","0","0","79","0","0","37.77632468","-122.4122351","POINT (-122.4122351 37.77632468)"
"1980-008","Capp Street Apartments","890 Capp St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1983-03-04T00:00:00.000","4","4","0","0","1","2","1","0","0","0","0","0","0","0","0","37.75245406","-122.417489","POINT (-122.417489 37.75245406)"
"1998-003","Carlin Valencia Apartments","286 Valencia St","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2000-06-29T00:00:00.000","4","4","0","2","2","0","0","0","0","0","1","0","0","0","0","37.76830415","-122.4224569","POINT (-122.4224569 37.76830415)"
"1986-001","Carmelita Apartments","391 Valencia St","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1990-05-18T00:00:00.000","20","20","0","3","6","8","3","0","0","0","0","0","0","0","0","37.76681106","-122.4216779","POINT (-122.4216779 37.76681106)"
"1999-016","Carter Terrace","530 Carter St","94134","11","Excelsior","Crocker Amazon","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2006-03-13T00:00:00.000","102","101","0","0","29","41","31","0","0","0","0","0","0","0","0","37.70890261","-122.4245072","POINT (-122.4245072 37.70890261)"
"2011-015","Casa Adelante - 1296 Shotwell","1296 Shotwell St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2020-03-12T00:00:00.000","93","93","0","24","69","0","0","0","0","0","0","0","22","0","0","37.74863736","-122.415043","POINT (-122.415043 37.74863736)"
"2016-071","Casa Adelante - 1990 Folsom","1990 Folsom St","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2021-12-21T00:00:00.000","142","142","0","23","48","60","11","0","0","0","0","0","0","0","0","37.76555237","-122.4158238","POINT (-122.4158238 37.76555237)"
"2009-006","Casa Adelante - 2060 Folsom","2060 Folsom St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2021-12-08T00:00:00.000","128","127","0","22","15","48","42","0","0","0","0","29","29","29","0","37.7643641","-122.4153092","POINT (-122.4153092 37.7643641)"
"2016-080","Casa Adelante - 681 Florida","681 Florida St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2023-04-05T00:00:00.000","129","129","0","44","30","41","14","0","0","0","0","0","39","39","0","37.76090404","-122.4107721","POINT (-122.4107721 37.76090404)"
"1989-005","Casa Aviva","1724 Bryant St","94110","9","Mission","Mission","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1991-09-13T00:00:00.000","10","10","4","0","0","0","0","0","0","6","0","0","0","0","0","37.76503374","-122.4106698","POINT (-122.4106698 37.76503374)"
"2010-003","Casa de la Mision","3001 24th St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2021-12-16T00:00:00.000","46","45","0","44","1","0","0","0","0","0","0","0","44","44","0","37.75250048","-122.412003","POINT (-122.412003 37.75250048)"
"1982-005","Casa Quezada","35 Woodward St","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-09-27T00:00:00.000","52","52","52","0","0","0","0","0","0","0","0","0","52","52","0","37.76933976","-122.4206169","POINT (-122.4206169 37.76933976)"
"1986-003","Cayuga Terrace","700 Delano Ave","94112","11","Outer Mission","Ocean View","Not in an OCII Project Area","MOHCD/SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","City Second Loan Program",,"1987-12-28T00:00:00.000","5","5","0","0","0","0","4","0","0","0","0","0","0","0","0","37.72006241","-122.4453408","POINT (-122.4453408 37.72006241)"
"2004-032","Ceatrice Polite Apartments","321 Clementina St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-03-20T00:00:00.000","90","90","0","45","45","0","0","0","0","0","0","0","0","0","0","37.78193599","-122.4021726","POINT (-122.4021726 37.78193599)"
"1996-008","Cecil Williams Glide Community House","333 Taylor St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1999-09-10T00:00:00.000","52","52","0","22","13","9","8","0","0","0","0","0","22","0","0","37.7854097","-122.4114099","POINT (-122.4114099 37.7854097)"
"2001-009","Chelsea Park","3620 19th St","94110","8","Mission","Mission","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-11-05T00:00:00.000","5","5","0","0","2","3","0","0","0","0","0","0","0","0","0","37.76015956","-122.4241666","POINT (-122.4241666 37.76015956)"
"2008-004","ChesHill on Mission","33 Seneca Ave","94112","11","Outer Mission","Outer Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-09-24T00:00:00.000","9","9","0","0","4","4","1","0","0","0","0","0","0","0","0","37.71766965","-122.4402241","POINT (-122.4402241 37.71766965)"
"1999-025","Chinese American Citizens Alliance Grand Lodge","1044 Stockton St","94108","3","Chinatown","Chinatown","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2001-11-16T00:00:00.000","16","16","10","0","6","0","0","0","0","0","0","0","0","0","0","37.79554509","-122.40779","POINT (-122.40779 37.79554509)"
"1998-021","Chinese American Citizens Alliance -S.F.","843 Clay St","94108","3","Chinatown","Chinatown","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2004-11-03T00:00:00.000","26","26","0","0","18","8","0","0","0","0","0","0","0","0","0","37.79395336","-122.4071258","POINT (-122.4071258 37.79395336)"
"1998-022","Chinook Family Apartments","1441 & 1443 Chinook Ct","94130","6","Treasure Island","Treasure Island/YBI","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2000-02-01T00:00:00.000","12","12","0","0","0","12","0","0","0","0","0","0","0","0","0","37.82421915","-122.3734071","POINT (-122.3734071 37.82421915)"
"2005-031","Citrino","566 South Van Ness Ave","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-08-28T00:00:00.000","4","4","0","0","0","4","0","0","0","0","0","0","0","0","0","37.76399914","-122.4175299","POINT (-122.4175299 37.76399914)"
"1987-005","City Heights Apts (aka Avalon Nob Hill)","840 Post St","94109","3","Nob Hill","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Securities Program",,"1997-07-15T00:00:00.000","37","37","0","7","25","5","0","0","0","0","0","0","0","0","0","37.78749772","-122.4157968","POINT (-122.4157968 37.78749772)"
"1985-001","Civic Center Residence","44 McAllister St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2010-12-07T00:00:00.000","213","212","212","0","0","0","0","0","0","0","0","0","102","0","0","37.78132891","-122.4127103","POINT (-122.4127103 37.78132891)"
"1992-007","Clara House","111 Page St","94102","6","Hayes Valley","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1995-01-17T00:00:00.000","13","13","0","0","9","4","0","0","0","0","0","0","0","0","0","37.77374166","-122.4229669","POINT (-122.4229669 37.77374166)"
"1980-006","Clayton Hotel","657 Clay St","94111","3","Chinatown","Financial District","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2003-06-10T00:00:00.000","81","81","81","0","0","0","0","0","0","0","0","0","0","0","0","37.7943258","-122.4038895","POINT (-122.4038895 37.7943258)"
"2013-039","Clementina Towers","320 & 330 Clementina St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2019-05-15T00:00:00.000","278","276","0","226","50","0","0","0","0","0","0","0","0","0","0","37.78217673","-122.4026805","POINT (-122.4026805 37.78217673)"
"1987-001","Coleridge Park Homes","190 Coleridge St","94110","9","Bernal Heights","Bernal Heights","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1989-02-01T00:00:00.000","50","49","0","2","43","4","0","0","0","0","0","0","0","0","0","37.74318813","-122.4201259","POINT (-122.4201259 37.74318813)"
"1992-011","Columbia Park","1035 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1996-03-04T00:00:00.000","51","50","0","0","3","12","31","4","0","0","0","0","0","0","0","37.77773528","-122.4058226","POINT (-122.4058226 37.77773528)"
"2006-023","Columbus United Cooperative","53 Columbus Ave","94111","3","Chinatown","Financial District","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2009-06-22T00:00:00.000","21","21","0","0","8","11","1","1","0","0","0","0","0","0","0","37.79595393","-122.4041571","POINT (-122.4041571 37.79595393)"
"1990-002","Connecticut St Court","1206-1228 Connecticut St","94107","10","Bayview Hunters Point","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1992-09-29T00:00:00.000","10","10","0","0","0","0","10","0","0","0","0","0","0","0","0","37.75091463","-122.3964441","POINT (-122.3964441 37.75091463)"
"1995-020","Coventry Place","1550 Sutter St","94109","2","Pacific Heights","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Assisted Living/Skilled Nursing Facility",,"1998-12-22T00:00:00.000","34","34","0","34","0","0","0","0","0","0","0","0","0","0","0","37.78725159","-122.4258614","POINT (-122.4258614 37.78725159)"
"2004-031","Crescent Cove","420 Berry St","94107","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-10-30T00:00:00.000","238","236","0","84","88","64","0","0","0","0","0","0","0","0","0","37.77200867","-122.3990057","POINT (-122.3990057 37.77200867)"
"1996-011","Crocker Amazon Senior Apartments","5199 Mission St","94112","11","Excelsior","Crocker Amazon","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2005-05-11T00:00:00.000","38","37","0","24","12","1","0","0","0","0","0","0","0","0","0","37.7153925","-122.4415048","POINT (-122.4415048 37.7153925)"
"1993-016","Crystal Villa","1328-1408 Bacon St","94134","9","Portola","Excelsior","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1992-12-15T00:00:00.000","10","1","0","0","0","0","1","0","0","0","0","0","0","0","0","37.72461118","-122.415857","POINT (-122.415857 37.72461118)"
"2005-036","Cubix","766 Harrison St","94107","6","South of Market","South of Market","Yerba Buena Center","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,,"7","7","0","7","0","0","0","0","0","0","0","0","0","0","0","37.78151055","-122.3989218","POINT (-122.3989218 37.78151055)"
"2000-014","Curran House","145 Taylor St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2005-11-14T00:00:00.000","67","67","0","14","15","14","24","0","0","0","0","0","19","0","0","37.78372814","-122.4109696","POINT (-122.4109696 37.78372814)"
"2001-016","Curry Senior Center Apartments","315 Turk St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2003-09-15T00:00:00.000","15","14","0","14","0","0","0","0","0","0","0","0","0","0","0","37.78254502","-122.4142577","POINT (-122.4142577 37.78254502)"
"2016-042","Dalt Hotel","34 Turk St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2004-10-26T00:00:00.000","179","178","177","0","1","0","0","0","0","0","0","0","0","0","0","37.78344861","-122.4096724","POINT (-122.4096724 37.78344861)"
"1987-002","Del Carlo Court","3330 Cesar Chavez St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1993-12-29T00:00:00.000","25","25","0","0","2","14","5","4","0","0","0","0","0","0","0","37.74853652","-122.4167373","POINT (-122.4167373 37.74853652)"
"2000-016","Derek Silva Community","20 Franklin St","94102","6","Hayes Valley","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2005-03-24T00:00:00.000","69","69","0","35","28","6","0","0","0","0","0","0","0","0","0","37.77461592","-122.420583","POINT (-122.420583 37.77461592)"
"1994-016","Diamond View Apartments","173-204 Addison St","94131","8","Glen Park","Glen Park","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-02-21T00:00:00.000","58","58","0","0","0","33","25","0","0","0","0","0","0","0","0","37.7379052","-122.4327304","POINT (-122.4327304 37.7379052)"
"2020-043","Diva Hotel","440 Geary St","94102","3","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD/HSH","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","HSH Homekey",,"2023-08-16T00:00:00.000","121","121","121","0","0","0","0","0","0","0","0","0","127","121","0","37.7873397","-122.4105529","POINT (-122.4105529 37.7873397)"
"1980-012","Dolores Plaza","3250 16th St","94103","8","Mission","Mission","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2010-02-26T00:00:00.000","25","11","0","1","7","3","0","0","0","0","0","0","0","0","0","37.7649882","-122.4251352","POINT (-122.4251352 37.7649882)"
"2015-052","Dorothy Day Community","54 McAllister St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2020-02-19T00:00:00.000","99","99","0","26","73","0","0","0","0","0","0","0","0","0","0","37.78128943","-122.4130937","POINT (-122.4130937 37.78128943)"
"2016-095","Dorris M. Vincent Apartments","275 Coleman St","94124","10","Bayview Hunters Point","Bayview","HP Shipyard Phase 1","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2025-11-21T00:00:00.000","72","72","0","4","18","31","16","2","1","0","0","0","0","0","0","37.72737552","-122.3682951","POINT (-122.3682951 37.72737552)"
"2009-004","Dr. George W Davis Senior Housing","1751 Carroll Ave","94107","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2016-05-24T00:00:00.000","122","121","0","0","117","4","0","0","0","0","0","0","0","0","0","37.7256277","-122.3957374","POINT (-122.3957374 37.7256277)"
"2014-009","Duboce","181 Sanchez St","94114","8","Castro/Upper Market","Castro/Upper Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2017-08-17T00:00:00.000","10","10","0","0","6","4","0","0","0","0","0","0","0","0","0","37.76628886","-122.4307928","POINT (-122.4307928 37.76628886)"
"1982-006","Dunleavy Plaza","36 Hoff St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1986-11-06T00:00:00.000","50","49","0","0","17","32","0","0","0","0","0","0","0","0","0","37.76450662","-122.4205941","POINT (-122.4205941 37.76450662)"
"2018-023","Eastern Park Apartments","711 Eddy St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Securities Program",,"2023-01-26T00:00:00.000","201","201","0","0","201","0","0","0","0","0","0","0","0","0","0","37.78276768","-122.4194847","POINT (-122.4194847 37.78276768)"
"1992-012","Eddy Street Apartments","1096 Eddy St","94109","2","Western Addition","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1997-04-10T00:00:00.000","22","21","0","0","21","0","0","0","0","0","0","0","0","0","0","37.78254605","-122.4257287","POINT (-122.4257287 37.78254605)"
"1995-013","Eddy Street Apartments (CFSF)","425 Eddy St","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1999-07-09T00:00:00.000","25","25","0","25","0","0","0","0","0","0","0","0","14","0","0","37.7834339","-122.4146184","POINT (-122.4146184 37.7834339)"
"2003-031","Edith Witt Senior Community","66 9th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-10-06T00:00:00.000","108","107","0","20","86","0","1","0","0","0","0","0","12","12","0","37.77653205","-122.4153144","POINT (-122.4153144 37.77653205)"
"2010-001","Edward II","3151-3155 Scott St","94123","2","Marina","Marina","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2014-11-19T00:00:00.000","24","24","24","0","0","0","0","0","0","0","0","0","24","24","0","37.79897536","-122.4409826","POINT (-122.4409826 37.79897536)"
"2015-007","Edwin M. Lee Apartments","1150 3rd St","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2020-06-17T00:00:00.000","120","119","0","12","55","31","21","0","0","0","0","0","7","0","54","37.77305438","-122.3899231","POINT (-122.3899231 37.77305438)"
"1989-012","El Dorado","150 9th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Building Rehabilitation (Construction)","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2026-01-14T00:00:00.000","57","57","57","0","0","0","0","0","0","0","0","0","10","0","0","37.77536957","-122.4140325","POINT (-122.4140325 37.77536957)"
"2018-006","Elevant","555 Golden Gate Ave","94102","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2021-03-10T00:00:00.000","7","7","0","0","2","5","0","0","0","0","0","0","0","0","0","37.78101052","-122.4196391","POINT (-122.4196391 37.78101052)"
"1998-009","Ellis Street Apartments","864 Ellis St","94109","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2002-04-19T00:00:00.000","26","25","0","25","0","0","0","0","0","0","0","0","0","0","0","37.78416352","-122.4203448","POINT (-122.4203448 37.78416352)"
"1995-001","Embarcadero Lofts","300 Beale St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Adaptive Reuse","Inclusionary Housing","Inclusionary Housing Program",,"1983-08-31T00:00:00.000","6","6","0","2","3","1","0","0","0","0","0","0","0","0","0","37.78801655","-122.3923794","POINT (-122.3923794 37.78801655)"
"1988-008","Embarcadero Triangle (Parcel J)","600 The Embarcadero","94111","6","Financial District/South Beach","South of Market","Rincon Point-South Beach","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1990-03-01T00:00:00.000","177","177","0","96","37","44","0","0","0","0","0","0","0","0","0","37.78348622","-122.3888121","POINT (-122.3888121 37.78348622)"
"1979-003","Endicott Court (Affordable Condo Program) (WA-A2)","1939-1965 O'Farrell St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Limited Equity Program",,"1986-03-04T00:00:00.000","19","9","0","0","0","0","0","0","0","0","0","0","0","0","0","37.78248897","-122.4366792","POINT (-122.4366792 37.78248897)"
"1998-011","Eugene Coleman Senior Community","328 Tehama St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-01-09T00:00:00.000","85","85","0","57","28","0","0","0","0","0","0","0","0","0","0","37.78233678","-122.4028253","POINT (-122.4028253 37.78233678)"
"2012-019b","Eve Community Village (Potrero Block B)","1108 Connecticut St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Potrero HOPE SF","2025-12-04T00:00:00.000","156","156","0","0","40","54","51","11","0","0","0","0","0","0","0","37.75211281","-122.3966768","POINT (-122.3966768 37.75211281)"
"2008-034","Excelsior Teen Center","4466-4468 Mission St","94112","11","Outer Mission","Outer Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-11-07T00:00:00.000","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","37.72633484","-122.4338358","POINT (-122.4338358 37.72633484)"
"1994-004","Fannie Lou Hamer House","1221 Cortland Ave","94110","9","Bernal Heights","Bernal Heights","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1997-04-01T00:00:00.000","2","2","0","0","0","0","1","0","1","0","0","0","0","0","0","37.73993196","-122.4117658","POINT (-122.4117658 37.73993196)"
"1980-010","Fella Place","5 Fella Pl","94108","3","Nob Hill","Chinatown","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1980-02-14T00:00:00.000","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.79077635","-122.4082739","POINT (-122.4082739 37.79077635)"
"1990-014","Fell Street Apartments","333 Fell St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2012-08-09T00:00:00.000","83","82","0","4","20","24","34","0","0","0","0","0","0","0","0","37.77561061","-122.4233482","POINT (-122.4233482 37.77561061)"
"2008-032","Ferguson Place","1249 Scott St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1993-01-26T00:00:00.000","12","12","0","0","0","0","0","0","0","12","0","0","0","0","0","37.78155948","-122.4376119","POINT (-122.4376119 37.78155948)"
"2011-017","Fifteen Fifteen","1515 15th St","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2014-06-09T00:00:00.000","7","7","0","1","1","5","0","0","0","0","0","0","0","0","0","37.76668112","-122.4177946","POINT (-122.4177946 37.76668112)"
"1984-008","Fillmore Center","1475 Fillmore St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","Inclusionary Housing","Affordability Preservation Agreement",,"2008-06-13T00:00:00.000","191","191","0","45","71","72","3","0","0","0","0","0","0","0","0","37.7826183","-122.4332356","POINT (-122.4332356 37.7826183)"
