id,pin,address,managing_organization,property_status,date_of_acquisition,date_of_disposition,sales_status,sale_offering_status,sale_offering_reason,sq_ft,square_footage_city_estimate,land_value,ward,community_area_number,community_area_name,zoning_classification,zip_code,last_update,application_use,grouped_parcels,application_opens,application_deadline,offer_round,application_url,latitude,longitude
24184,25-24-215-043-0000,,Park District,Leased,2001-09-24T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
11572,16-13-326-013-0000,1133 S ALBANY AVE,DPD Large Lots,Sold,,2017-12-08T00:00:00.000,,,,0.0,,,28,29,NORTH LAWNDALE,RT-4,60612,09/12/2025,,,,,,,41.86726688209115,-87.70290011784486
8777,16-10-331-028-0000,4430 W MADISON ST,DPD Real Estate,Owned by City,1977-03-31T00:00:00.000,,Interest,,,0.0,,22000.0,28,26,WEST GARFIELD PARK,B3-2,60624,03/04/2026,,,,,,,41.88100202779245,-87.7367588790049
9721,16-16-110-001-0000,5447 W QUINCY ST,,Sold,,,,,,6820.0,,,29,25,AUSTIN,RS-3,60644,09/12/2025,,,,,,,41.87721832370986,-87.76149120793023
10746,16-14-407-035-0000,3214 W LEXINGTON ST,DPD Large Lots,Sold,,,,,,3431.0,,,24,27,EAST GARFIELD PARK,RT-4,60624,09/12/2025,,,,,,,41.87212855599183,-87.70655344927481
8950,16-11-113-002-0000,,,Owned by City,,,Interest,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
11831,25-25-205-010-0000,,Park District,Leased,2002-01-09T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
10009,16-23-100-021-0000,1257 S PULASKI RD,,Sold,,,,,,0.0,,,24,29,NORTH LAWNDALE,C1-2,60623,09/12/2025,,,,,,,41.86448410830173,-87.72477840453408
10071,16-22-106-018-0000,,,Owned by City,1973-03-01T00:00:00.000,,Interest,,,0.0,9717.0,19434.0,,,,,,04/15/2026,,,,,,,,
11993,17-20-201-033-0000,,,Sold,,,,,,9392.0,,,,,,,0,09/12/2025,,,,,,,,
9264,16-11-410-034-0000,3428 W LAKE ST,DOH,Owned by City,1997-09-02T00:00:00.000,,Interest,,,2557.0,,70000.0,28,27,EAST GARFIELD PARK,M1-3,60624,05/01/2026,,,,,,,41.884948197313584,-87.71240078058845
11315,16-13-319-007-0000,2847 W ARTHINGTON ST,,Sold,,,,,,2708.0,,,28,27,EAST GARFIELD PARK,RT-4,60612,09/12/2025,,,,,,,41.8698703459755,-87.69773539820767
20706,20-22-203-001-0000,533 E 63RD ST,,Owned by City,,,Interest,,,0.0,,,20,42,WOODLAWN,B3-3,60637,09/12/2025,,,,,,,41.780065159004586,-87.61184245377318
62569,20-33-120-015-0000,448 W 81ST PL,,Owned by City,2005-05-12T00:00:00.000,,Interest,,,0.0,,,,,,,60620,09/12/2025,,,,,,,,
62646,17-04-112-002-0000,,,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
20742,20-21-105-008-0000,,,Owned by City,1969-02-07T00:00:00.000,,Interest,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
18980,20-08-122-011-0000,4959 S LOOMIS BLVD,DPD Large Lots,Sold,1976-04-14T00:00:00.000,2025-09-25T00:00:00.000,,,,0.0,,,20,61,NEW CITY,RT-4,60609,04/28/2026,,,,,,,41.803330802215136,-87.65964530551508
19859,20-26-323-002-0000,,,Sold,,2015-08-27T00:00:00.000,,,,0.0,,,,,,,00000,09/12/2025,,,,,,,,
19917,20-23-224-001-0000,,Obsolete PIN,Sold,,2018-08-15T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
20861,20-21-116-035-0000,6544 S UNION AVE,DOH,Owned by City,,,Interest,,,0.0,,,16,68,ENGLEWOOD,RT-4,60621,09/12/2025,,,,,,,41.77485589730161,-87.64296496450112
21830,25-25-205-001-0000,,Park District,Leased,2002-01-09T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
62811,17-27-409-073-0000,,DPD Planning,Owned by City,,,,,,32439.0,,,,,,,00000,01/21/2026,,,,,,,,
22094,26-05-114-016-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
62691,20-09-216-064-0000,,CHA,Owned by City,1979-10-18T00:00:00.000,,Interest,,,0.0,,,,,,,,04/15/2026,,,,,,,,
21073,20-23-211-008-0000,,,Sold,1978-09-22T00:00:00.000,2008-01-22T00:00:00.000,,,,2170.0,,,,,,,0,09/12/2025,,,,,,,,
21948,25-25-205-039-0000,,Park District,Leased,2002-01-09T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
21139,20-22-317-020-0000,6944 S PRAIRIE AVE,DPD Large Lots,Sold,,2020-09-14T00:00:00.000,,,,0.0,,,6,69,GREATER GRAND CROSSING,RS-3,60637,09/12/2025,,,,,,,41.76792617100766,-87.61888367675752
21208,20-21-205-021-0000,6426 S YALE AVE,,Sold,,,,,,4493.0,,,6,68,ENGLEWOOD,RT-4,60621,09/12/2025,,,,,,,41.77726767476459,-87.6322065578006
22148,25-25-206-046-0000,,Park District,Leased,2001-11-13T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
20390,20-23-108-011-0000,1114 S WOODLAWN AVE,,Owned by City,,,Interest,,,0.0,,,,,,,00000,09/12/2025,,,,,,,,
21384,20-19-205-008-0000,1701 W 63RD ST,,Sold,,,,,,0.0,,,15,67,WEST ENGLEWOOD,B1-1,60636,09/12/2025,,,,,,,41.77911327459695,-87.66711029468263
62636,20-09-318-043-0000,5346 S UNION AVE,,Owned by City,,,Offered,,,0.0,3129.0,9387.0,16,61,NEW CITY,RS-3,60609,09/12/2025,,,,,,,41.796660056135146,-87.64313253418669
62639,17-34-326-019-0000,3841 S GILES AVE,,Owned by City,,,Interest,,,0.0,,,3,35,DOUGLAS,RM-5,60653,09/12/2025,,,,,,,41.824416924535456,-87.61889926672352
21483,20-19-223-031-0000,6526 S ASHLAND AVE,,Owned by City,,,Interest,,,0.0,,,15,67,WEST ENGLEWOOD,C1-2,60636,09/12/2025,,,,,,,41.77501587460906,-87.66451159303324
20642,20-23-119-014-0000,6533 S MINERVA AVE,,Sold,,,,,,3182.0,,,20,42,WOODLAWN,RT-4,60637,09/12/2025,,,,,,,41.77586246707663,-87.59696050313205
15136,20-03-406-023-0000,736 E 44TH ST,DOH,Owned by City,2000-08-10T00:00:00.000,,Application Closed,,,0.0,2485.0,52155.0,4,38,GRAND BOULEVARD,RT-4,60653,10/20/2025,,,,2024-05-17T00:00:00.000,Q1 2024,https://cocdpd.submittable.com/submit/bff0b20d-5aa2-4b37-92d7-72670d658fdb/cbb-april-1-2024-city-lots-for-working-families-cl4wf-land-sale-application,41.81521057449957,-87.60766015259776
50868,20-15-408-022-0000,6142 S VERNON AVE,DOH,Owned by City,1998-08-06T00:00:00.000,,Interest,,,0.0,,,20,42,WOODLAWN,RM-5,60637,09/12/2025,,,,,,,41.794710132538164,-87.60580750682301
16227,17-28-104-002-0000,,,Sold,,,,,,23255.0,,,,,,,0,09/12/2025,,,,,,,,
17304,20-15-117-009-0000,5743 S PRAIRIE AVE,,Owned by City,2000-09-08T00:00:00.000,,Interest,,,0.0,,,20,40,WASHINGTON PARK,RM-5,60637,09/12/2025,,,,,,,41.78987156348663,-87.61860476975959
15465,17-34-306-037-0000,,,Sold,1979-06-07T00:00:00.000,2014-04-04T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
16409,20-16-311-006-0000,525 W 60TH ST,DPD Large Lots,Sold,,2018-01-19T00:00:00.000,,,,7065.0,,,20,68,ENGLEWOOD,RS-3,60621,09/12/2025,,,,,,,41.7850028034105,-87.63874905573599
15470,17-34-306-048-0000,14 E 37TH ST,,Owned by City,1980-07-25T00:00:00.000,,Interest,,,0.0,,,3,35,DOUGLAS,C2-3,60653,09/12/2025,,,,,,,41.82752798757225,-87.62589146510759
16453,25-25-211-016-0000,,DPD Open Space,Owned by City,2001-12-13T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
50952,20-02-313-065-0000,4515 S ELLIS AVE,,Owned by City,,,Interest,,,0.0,4838.0,120957.0,4,39,KENWOOD,RT-4,60653,09/12/2025,,,,,,,41.81271516549587,-87.60124925844607
17589,20-15-300-005-0000,5927 S STATE ST,,Sold,1992-07-30T00:00:00.000,2004-07-27T00:00:00.000,,,,8017.0,,,20,40,WASHINGTON PARK,B1-2,60621,09/12/2025,,,,,,,41.786574020384634,-87.62501222065887
16730,20-17-329-018-0000,6202 S ADA ST,,Sold,2002-04-09T00:00:00.000,2006-08-22T00:00:00.000,,,,2913.0,,,16,67,WEST ENGLEWOOD,RT-4,60636,09/12/2025,,,,,,,41.78109920584569,-87.65858441367065
17742,20-15-310-004-0000,6015 E 60TH ST,DOH,Owned by City,2000-10-12T00:00:00.000,,Interest,,,0.0,,,,,,,00000,03/05/2026,,,,,,,,
17792,20-14-315-027-0000,932 E 63RD ST,,Sold,,,,,,0.0,,,20,42,WOODLAWN,PD 1182,0,09/12/2025,,,,,,,41.780720687626136,-87.60144758806868
15024,20-02-400-011-0000,4337 S LAKE PARK AVE,DPD Open Space,Sold,1970-05-27T00:00:00.000,2024-05-30T00:00:00.000,Application(s) Received,,,0.0,3023.0,75564.0,4,39,KENWOOD,B3-3,60653,10/22/2025,,,,,,,41.81600963641272,-87.59782893525907
62446,25-16-216-058-0000,10622 S STATE ST,,Owned by City,2015-04-01T00:00:00.000,,Interest,,,0.0,,,9,49,ROSELAND,RS-3,60628,09/17/2025,,,,,,,41.70093908881647,-87.62368684795919
62358,20-03-316-011-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
59301,16-23-326-018-0000,2126 S MILLARD AVE,,Owned by City,2002-02-05T00:00:00.000,,,,,,,,24,29,NORTH LAWNDALE,RT-4,,09/12/2025,,,,,,,41.85302434460656,-87.71660351829405
59387,20-22-108-013-0000,,DPD Open Space,Sold,,2018-11-20T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
62976,26-30-402-014-0000,,DPD Open Space,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
63184,20-15-310-019-0000,,DOH,Owned by City,,,Interest,,,0.0,,,,,,,00000,10/09/2025,,,,,,,,
62929,20-17-215-018-0000,,,Owned by City,,,Interest,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
47358,25-25-206-031-0000,,Park District,Leased,2002-01-09T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
61842,16-23-229-003-0000,1509 S SAWYER AVE,DOH,Owned by City,2002-01-02T00:00:00.000,,,,,0.0,,,24,29,NORTH LAWNDALE,RT-4,60623,02/09/2026,,,,,,,41.86057984354959,-87.70636880068348
61530,20-17-414-001-0000,,,Owned by City,,,Interest,,,0.0,,,,,,,00000,09/12/2025,,,,,,,,
61883,16-24-101-015-0000,1227 S TROY ST,DOH,Owned by City,2001-01-14T00:00:00.000,,,,,0.0,,,24,29,NORTH LAWNDALE,RM-5,60623,09/12/2025,,,,,,,41.86553866257616,-87.70407314837585
61945,20-23-107-011-0000,,,Sold,1982-05-11T00:00:00.000,2016-06-01T00:00:00.000,,,,0.0,,,,,,,00000,09/12/2025,,,,,,,,
61588,20-15-317-042-0000,,Obsolete PIN,,,,,,,,,,,,,,,09/12/2025,,,,,,,,
61794,25-16-210-380-0000,,Obsolete PIN,,,,,,,,,,,,,,,09/12/2025,,,,,,,,
61803,25-16-329-080-0000,,Obsolete PIN,,,,,,,,,,,,,,,09/12/2025,,,,,,,,
61821,25-16-107-300-0000,,Obsolete PIN,,,,,,,,,,,,,,,09/12/2025,,,,,,,,
61823,25-16-210-400-0000,,Obsolete PIN,,,,,,,,,,,,,,,09/12/2025,,,,,,,,
61827,25-27-200-120-0000,,Obsolete PIN,Owned by City,,,,,,,,,,,,,,04/29/2026,,,,,,,,
35136,26-08-331-018-0000,3704 E 106TH ST,2FM,Owned by City,,,,,,0.0,,,10,52,EAST SIDE,C1-1,60617,09/12/2025,,,,,,,41.70299991572147,-87.53390888471147
34398,20-17-431-015-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
35246,19-11-117-019-0000,,Other,Owned by City,1988-08-31T00:00:00.000,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
34490,25-34-409-004-0000,915 E 134TH PL,DPD Open Space,Owned by City,2005-02-10T00:00:00.000,,Interest,,,0.0,,,,,,,60827,09/12/2025,,,,,,,,
34502,20-17-430-035-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
34520,20-17-430-034-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
34537,20-17-430-030-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
34645,25-34-408-021-0000,,,Owned by City,2004-12-27T00:00:00.000,,Interest,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
34669,17-04-310-003-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
35459,16-01-231-047-0000,2641 W CRYSTAL ST,,Sold,,,,,,639.0,,,26,24,WEST TOWN,RS-3,60622,09/12/2025,,,,,,,41.90367350134671,-87.69360879790757
34764,17-21-105-012-0000,,,Sold,1989-09-07T00:00:00.000,1995-04-04T00:00:00.000,,,,,,,,,,,,09/12/2025,,,,,,,,
34807,17-21-105-011-0000,,,Sold,1989-09-01T00:00:00.000,1995-04-04T00:00:00.000,,,,,,,,,,,,09/12/2025,,,,,,,,
34859,20-20-103-008-0000,1401 W 63RD ST,2FM,Owned by City,,,,,,0.0,,,16,67,WEST ENGLEWOOD,PD 911,0,09/12/2025,,,,,,,41.77927788993182,-87.65958412205474
34129,20-16-106-010-0000,,,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
34126,20-16-117-007-0000,,,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
35877,20-17-429-050-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
34172,20-16-116-028-0000,514 W 57TH PL,,Sold,,,,,,0.0,,,20,68,ENGLEWOOD,RS-3,60621,09/12/2025,,,,,,,41.790147290589445,-87.63842088447785
34188,20-16-108-020-0000,,,Sold,1994-09-26T00:00:00.000,2013-11-25T00:00:00.000,,,,,,,,,,,,09/12/2025,,,,,,,,
34961,26-30-414-006-0000,,DPD Large Lots,Sold,,2018-03-19T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
35560,17-27-302-018-0000,,,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
34281,20-16-104-021-0000,,,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
34313,16-11-112-013-0000,641 N SPRINGFIELD AVE,,Owned by City,,,Interest,,,0.0,3022.0,9066.0,37,23,HUMBOLDT PARK,RS-3,60624,09/12/2025,,,,,,,41.89300392843276,-87.72321451391808
58979,16-15-425-010-0000,,Obsolete PIN,Owned by City,1999-01-14T00:00:00.000,,,,,,,,,,,,,09/12/2025,,,,,,,,
65769,16-36-100-058-8002,,2FM,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
59004,16-16-115-047-0000,,Obsolete PIN,Owned by City,1999-12-05T00:00:00.000,,,,,,,,,,,,,03/18/2026,,,,,,,,
65780,20-21-405-049-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
66103,17-16-324-029-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
66108,17-27-411-026-0000,,2FM,Owned by City,,,,,,59682.0,,,,,,,0,09/12/2025,,,,,,,,
65832,16-16-307-014-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
65873,14-18-100-013-0000,4727 N WESTERN AVE,Revenue Lot,Owned by City,,,,,,0.0,,,47,04,LINCOLN SQUARE,B3-2,60625,09/12/2025,,,,,,,41.96705772531271,-87.68847541526517
65897,17-17-112-023-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
63530,20-17-430-031-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
66111,13-02-300-004-0000,,2FM,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
65647,11-31-416-093-0000,,2FM,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
65673,13-26-230-016-0000,,2FM,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
65696,19-19-207-044-0000,,2FM,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
66240,17-04-310-036-0000,,2FM,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
37797,20-26-412-008-0000,7647 S SOUTH CHICAGO AVE,,Owned by City,2003-02-07T00:00:00.000,,Interest,,,0.0,,,8,43,SOUTH SHORE,C1-2,60619,09/12/2025,,,,,,,41.756171048410586,-87.59147565143026
36234,20-17-429-023-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
36297,20-17-431-007-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
36342,20-17-429-026-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
36347,20-17-430-026-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
36404,20-17-431-030-0000,,Obsolete PIN,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
37163,20-09-414-019-0000,,,Owned by City,2002-01-09T00:00:00.000,,Interest,,,0.0,,,,,,,00000,09/12/2025,,,,,,,,
37289,26-20-128-020-0000,,DPD Open Space,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
35891,20-17-428-032-0000,,Obsolete PIN,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
37518,20-05-110-013-0000,,DPD Real Estate,Sold,,2018-10-12T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
36044,20-21-105-014-0000,6345 S PARNELL AVE,,Owned by City,2002-03-05T00:00:00.000,,Interest,,,0.0,3164.0,9491.0,20,68,ENGLEWOOD,RT-4,60621,09/12/2025,,,,,,,41.77856254964186,-87.63835279139987
36049,19-22-300-017-1018,,,Sold,,,,,,,,,,,,,,09/12/2025,,,,,,,,
36082,20-17-423-036-0000,,Obsolete PIN,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
36835,20-09-218-001-0000,,,Owned by City,2005-01-25T00:00:00.000,,Interest,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
37589,26-20-128-026-0000,,DPD Open Space,Owned by City,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
36091,20-20-204-038-0000,7300 S PRINCETON AVE,DPD Large Lots,Sold,,2018-03-19T00:00:00.000,,,,0.0,,,6,69,GREATER GRAND CROSSING,RT-4,60621,09/12/2025,,,,,,,41.77802943609724,-87.64873702386711
36126,20-17-423-038-0000,,Obsolete PIN,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
36176,20-17-430-001-0000,,Obsolete PIN,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
67250,17-18-306-019-0000,,,Not City Owned,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
67300,20-16-311-022-0000,,,Not City Owned,,,,,,13277.0,,,,,,,60638,09/12/2025,,,,,,,,
67475,20-21-116-001-0000,,,Not City Owned,,,,,,,,,,,,,,09/12/2025,,,,,,,,
67586,17-08-336-038-0000,,,Not City Owned,,,,,,,,,,,,,,09/12/2025,,,,,,,,
67599,17-18-306-014-0000,,,Not City Owned,,,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
67654,17-21-320-022-0000,,,Owned by City,,,,,,0.0,,,,,,,,05/01/2026,,,,,,,,
66449,17-20-119-031-0000,,Obsolete PIN,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
66570,17-20-119-022-0000,,Obsolete PIN,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
66628,26-05-116-008-0000,,,Sold,,1999-10-15T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
66656,17-04-420-014-0000,,,Sold,,1989-02-23T00:00:00.000,,,,0.0,,,,,,,0,09/12/2025,,,,,,,,
69888,26-30-316-001-0000,,,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
35450,17-27-409-070-0000,2932 S ELLIS AVE,DPD Planning,Owned by City,,,,,,0.0,,,4,35,DOUGLAS,PD 1509,60608,01/21/2026,,,,,,,41.84132341434838,-87.61374482939479
69892,26-30-100-009-0000,,,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
24235,25-16-306-026-0000,10724 S EGGLESTON AVE,,Owned by City,2009-10-02T00:00:00.000,,Interest,,,0.0,4905.0,12263.0,21,49,ROSELAND,RS-2,60628,11/07/2025,,,,,,,41.698956704377565,-87.63448949533309
34067,16-11-127-039-0000,426 N SPRINGFIELD AVE,,Owned by City,2000-11-21T00:00:00.000,,Interest,,,0.0,3001.0,9002.0,37,23,HUMBOLDT PARK,RS-3,00000,09/12/2025,,,,,,,41.8888495058675,-87.72380460527789
69939,10-30-308-011-0000,,DWM,Owned by City,1975-12-10T00:00:00.000,,,,,,,,,,,,,10/17/2025,,,,,,,,
68165,25-24-216-014-0000,,DPD Open Space,Owned by City,2021-08-27T00:00:00.000,,,,,,,,,,,,,09/12/2025,,,,,,,,
68035,20-03-403-009-0000,,,Sold,1991-03-19T00:00:00.000,2002-03-28T00:00:00.000,,,,,,,,,,,,09/12/2025,,,,,,,,
69889,26-30-316-002-0000,,,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
69906,26-30-300-025-0000,,Other,Owned by City,,,,,,,,,,,,,,09/12/2025,,,,,,,,
